id,created_on,operation,property_type,place_name,place_with_parent_names,country_name,state_name,geonames_id,lat_lon,lat,lon,price,currency,price_aprox_local_currency,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,price_usd_per_m2,price_per_m2,floor,rooms,expenses,properati_url,description,title,image_thumbnail
7bb707c3c3672757763d0b4e83d262e6191795a8,2014-10-21,rent,apartment,São Paulo,|Brasil|São Paulo|São Paulo|,Brasil,São Paulo,,"-23.603968,-46.665443",-23.603968,-46.665443,3200,BRL,3094.16,1002.06,117,117,8.5646153846153847,27.350427350427349,,3,900,http://www.properati.com.br/roud_alugar_apartamentos_sao-paulo,"Apartamento com três dormitórios com armários, sendo uma suíte, sala ampla para dois ambientes, varanda, cozinha com armários, área de serviço, banheiro com box e duas vagas de garagem. O condomínio oferece Piscina, Piscina Infantil, Playground, Salão de Festa e Salão de Jogos.","Apartamento  residencial para locação, Indianópolis, São Paulo.",https://thumbs4.properati.com/3/xm083iqR5BbjwTSFaU-FmR5RY24=/trim/198x0/smart/filters:strip_icc()/cdn1.valuegaia.com.br/_Fotos/1231/1328/1467112311B24105D56C1B0643E2FEFDFC695CAEFF3720260.jpg
99959d78e9e6a9aac724737dc1fd78c0bc4e12c3,2015-01-22,rent,apartment,São Paulo,|Brasil|São Paulo|São Paulo|,Brasil,São Paulo,,"-23.609961,-46.661419",-23.609961,-46.661419,2000,BRL,1933.85,626.29,,73,8.57931506849315,27.397260273972602,,3,746,http://www.properati.com.br/wqg2_alugar_apartamentos_sao-paulo,"MOEMA ÍNDIOS. 73 m2 - 03 dormitórios. Sala ampla com Janelão; 03 dormitórios com armários; Banheiro social; Cozinha com armários; Área de Serviço e Banheiro de Serviço. 01 Vaga de Garagem. Jardim, Salão de festa e Fitness.","Apartamento residencial para locação, Moema Índios, São Paulo.",https://thumbs4.properati.com/6/aHAavDG_QDVh8iPsIX3xDfQXdfQ=/trim/198x0/smart/filters:strip_icc()/cdn1.valuegaia.com.br/_Fotos/3371/3621/800873371034B004E5A36524E99A1F57A9FDF800348316093.JPG
e6076de23976b6e13bba822e3aa9562ac82fa86d,2014-09-20,rent,apartment,São Paulo,|Brasil|São Paulo|São Paulo|,Brasil,São Paulo,,"-23.632801,-46.700478",-23.632801,-46.700478,5500,BRL,5318.11,1722.3,,198,8.6984848484848474,27.777777777777779,,3,1700,http://www.properati.com.br/qiex_alugar_apartamentos_sao-paulo_rua-fernandes-moreira,"Lindo apartamento, semi mobiliado, 3 dormitórios, sendo 3 suítes, uma delas master com closet e hidromassagem. Um outro quarto transformado em sala de jogos com um bar muito aconchegante. São 2 salas, uma delas bastante ampla e com lareira. Varanda em todos os quartos e sala com churrasqueira. Uma cozinha elegante, repleta de móveis planejados. Localização com vista mais que privilegiada para a Chácara.","Apartamento residencial para locação, Chácara Santo Antônio (Zona Sul), São Paulo - AP0389.",https://thumbs4.properati.com/0/xyk1ScbbzIDzriPjlG9kbTkVTzo=/trim/198x0/smart/filters:strip_icc()/cdn1.valuegaia.com.br/_Fotos/3371/3621/668143371F026AA430418944A2250F633B766C12008DD63B0.jpg
afe4c2c5fcb939ca75f6cd9b6b345d196c928a4b,2014-08-02,rent,apartment,São Paulo,|Brasil|São Paulo|São Paulo|,Brasil,São Paulo,,"",,,9000,BRL,8702.37,2818.31,450,320,8.80721875,28.125,,4,4500,http://www.properati.com.br/ltlz_alugar_apartamentos_sao-paulo,"Imóvel com 320m² em Moema Pássaros com localização privilegiada. Entrada social e de serviço, elevadores  da área de serviço servem um por bloco, com hall, sala ampla, 4 dormitórios sendo 2 suítes, sala de estar e jantar, varanda, terraço com churrasqueira, cozinha, dormitório de empregada, 3 banheiros e 4 vagas. Possui piscina, quadra, sala de ginástica, sauna e salão de festas no prédio.","Apartamento em Moema Pássaros com 320m², Moema Pássaros",https://thumbs4.properati.com/6/NRAlUHUXB3O_HFipeHPHlss64ZY=/trim/198x0/smart/filters:strip_icc()/cdn1.valuegaia.com.br/_Fotos/3658/3935/7201236580D6081018018887E7F72830C7E6490F73CE65C6C.JPG
86bc4f293d74afcd74216d0140bc233788ac4fc7,2014-11-19,rent,apartment,São Paulo,|Brasil|São Paulo|,Brasil,São Paulo,,"-23.96955,-46.3819935",-23.96955,-46.3819935,1700,BRL,1730.24,560.35,,60,9.3391666666666673,28.333333333333332,2,1,,http://www.properati.com.br/tkhr_alugar_apartamentos_sao-paulo,"MOBILIADO/PÉ NA AREIA/VISTA AO MAR  A 3 Milenio oferece este(a) Apartamento em Sao Vicente, no bairro Gonzaguinha - 1 dormitórios. Gostou desse(a) Apartamento em Sao Vicente? Então veja mais informações!  Acesse o nosso site clicando no botão Contate o anunciante ou ligue  -  ou ainda entre em contato conosco pelo email vendas@ Obrigado!","Apartamento em Sao Vicente, no bairro Gonzaguinha - 1 dormitórios",https://thumbs4.properati.com/8/NWVmzMjsAmkF_MsYIVGR7OfCErE=/trim/198x0/smart/filters:strip_icc()/www.imobiliariasdesantos.com.br/fotos/F00/30/693000-122_2247.JPG
5c59b3e061945b252cd4d0f953559f97dd49fa31,2014-08-29,rent,apartment,São Paulo,|Brasil|São Paulo|São Paulo|,Brasil,São Paulo,,"",,,5000,BRL,4834.63,1565.72,176,176,8.896136363636364,28.40909090909091,,4,1300,http://www.properati.com.br/nxib_alugar_apartamentos_sao-paulo,"Apartamento residencial para locação, Indianópolis, São Paulo.","Apartamento residencial para locação, Indianópolis, São Paulo.",https://thumbs4.properati.com/7/0mMmMCHDt8H5rOkS4Lvo5crvjPQ=/trim/198x0/smart/filters:strip_icc()/cdn1.valuegaia.com.br/_Fotos/2181/2344/678442181EADA3269DB667E3026ED3428B2081C830D88B77F.jpg
8a977c0c4b9ef700024cb2ee3e59de53bcf599c8,2014-07-16,rent,apartment,São Paulo,|Brasil|São Paulo|,Brasil,São Paulo,,"",,,2000,BRL,1897.2,614.42,,70,8.77742857142857,28.571428571428573,,2,,http://www.properati.com.br/ifzl_alugar_apartamentos_vila-olimpia,"	Apartamento na Vila Olimpia, sala para 2 ambientes, 2 dormitórios com armários embutidos, cozinha, lavanderia, quarto na área de serviço, 2 banheiros, 1 vaga. Referíªncia: AP237","Apartamento no(a) Vila OlÃ­mpia , SÃ£o Paulo - SP",https://thumbs4.properati.com/9/waPGo7zWMk2XTzN-br6B0h4Nrgo=/trim/198x0/smart/filters:strip_icc()/souzapinto.imobfusion01.com.br/accounts/souzapinto/data/photo/237/75daca8f-ee37-4813-97af-b4fa00920d4f.jpg
d8155a4e2eb726e3e973fd0e894ce91d8cca72a1,2015-01-22,rent,apartment,São Paulo,|Brasil|São Paulo|São Paulo|,Brasil,São Paulo,,"",,,1650,BRL,1595.43,516.69,56,56,9.2266071428571443,29.464285714285715,,2,,http://www.properati.com.br/we0s_alugar_apartamentos_sao-paulo,"Excelente opção de apartamento em Pirituba! Localização privilegiada! Proximo ao Terminal Pirituba, proximo à bancos, mercados, etc. Condominio novo! São 02 Dorms, sendo 01 suite, sala c/ sacada, coz, wc, ASe 01 vaga coberta! Imóvel está terminando de colocar piso e movéis na cozinha, ficará pronto meio de fevereiro! GARANTIA LOCAÇÃO = 03 DEPOSITOS, FIADOR ou SEGURO FIANÇA. DEVE-SE COMPROVAR RENDA E ESTAR COM NOME LIMPO.","Ótimo Apartamento para locação em Pirituba-SP! 02 Dorms,01Suite, 01 Vaga!",https://thumbs4.properati.com/6/_xynULyxeOefbVthxiu242pgY1c=/trim/198x0/smart/filters:strip_icc()/cdn1.valuegaia.com.br/_Fotos/4426/4785/86471442651C55A913985D982C1AF48C7BC74FD7D93058715.jpg
b7e6f035d979e23eaa56a4b0c3a5670a0b8d2c7f,2015-01-20,rent,apartment,São Paulo,|Brasil|São Paulo|São Paulo|,Brasil,São Paulo,,"",,,1200,BRL,1160.3,375.77,40,40,9.39425,30,,,,http://www.properati.com.br/w5pp_alugar_apartamentos_sao-paulo,"Sala  comercial para locação, Vila Bonilha, São Paulo.","Sala  comercial para locação, Vila Bonilha, São Paulo.",https://thumbs4.properati.com/3/DlUUjaMHkCZ7L07JLkDtL_f1eAs=/trim/198x0/smart/filters:strip_icc()/cdn1.valuegaia.com.br/_Fotos/1863/2023/227811863DA6791D65DA1F07827A63F487A4E662A5810ED07.jpg
3cfeb7de81ae8d5e0109b413ad0af40199a75a59,2014-11-18,rent,apartment,São Paulo,|Brasil|São Paulo|São Paulo|,Brasil,São Paulo,,"-23.607246,-46.501926",-23.607246,-46.501926,1200,BRL,1184.32,383.55,40,40,9.588750000000001,30,,,,http://www.properati.com.br/teck_alugar_apartamentos_sao-paulo,"Conjunto comercial possuindo salas de aproximadamente 40m²  e 45m² com banheiro interno, possui uma recepção bem ampla no hall de entrada.   Podendo ser locada individualmente. ______________________________________________________________ Garantia para locação: Fiador ou Seguro Fiança.","Sala Comercial para locação, Conjunto Habitacional Teotonio Vilela, São Paulo - SA0082.",https://thumbs4.properati.com/8/4hoB5eryGnqiksJW3tXCaOt87bI=/trim/198x0/smart/filters:strip_icc()/cdn1.valuegaia.com.br/_Fotos/364/390/279163648BA0F68DD3ABF4AE97644DEEB7CED9C06EF0A8D3.jpg
